Logger	Printf	"Logger.Printf(\"producer/leader/%s/%d state change to [retrying-%d]\\n\", pp.topic, pp.partition, hwm)"
Logger	Printf	"Logger.Printf(\"client/coordinator request to broker %s failed: %s\\n\", broker.Addr(), err)"
Logger	Printf	"Logger.Printf(\"producer/broker/%d state change to [closed] on %s/%d\\n\",
	bp.broker.ID(), msg.Topic, msg.Partition)"
Logger	Printf	"Logger.Printf(\"client/coordinator coordinator for consumergroup %s is #%d (%s)\\n\", consumerGroup, response.Coordinator.ID(), response.Coordinator.Addr())"
Logger	Printf	"Logger.Printf(\"Retrying batch for %v-%d because of %s\\n\", topic, partition, kerr)"
Logger	Printf	"Logger.Printf(\"producer/leader/%s/%d state change to [retrying-%d]\\n\", pp.topic, pp.partition, pp.highWatermark)"
Logger	Println	"Logger.Println(\"Consumer.Offsets.Retention only supports millisecond precision; nanoseconds will be truncated.\")"
Logger	Println	"Logger.Println(\"Net.SASL is disabled but a non-empty password was provided.\")"
Logger	Println	"Logger.Println(\"Producer.Flush: Bytes or Messages are set, but Frequency is not; messages may not get flushed.\")"
Logger	Println	"Logger.Println(\"client/metadata no available broker to send metadata request to\")"
Logger	Println	"Logger.Println(\"client/metadata found some partitions to be leaderless\")"
Logger	Println	"Logger.Println(\"Consumer.MaxWaitTime only supports millisecond precision; nanoseconds will be truncated.\")"
a	scanBytes	a.scanBytes([]byte(src))
a	scanBytes	a.scanBytes(src)
a	scanBytes	a.scanBytes(src, dv)
a	scanBytes	a.scanBytes([]byte(src), dv)
association	setErr	association.setErr(results.Error)
association	setErr	"association.setErr(errors.New(\"invalid value type\"))"
association	setErr	association.setErr(scope.NewDB().Save(reflectValue.Interface()).Error)
association	setErr	association.setErr(association.scope.db.Error)
association	setErr	association.setErr(relationship.JoinTableHandler.Delete(relationship.JoinTableHandler, newDB))
association	setErr	association.setErr(newDB.Model(fieldValue).UpdateColumn(foreignKeyMap).Error)
atomic	StoreUint32	atomic.StoreUint32(&n.loading, uint32(time.Now().Unix()))
atomic	StoreUint32	atomic.StoreUint32((*uint32)(&logger.Level), uint32(level))
atomic	StoreUint32	atomic.StoreUint32(&c.reloading, 0)
atomic	StoreUint32	atomic.StoreUint32(&p.chInitialized, 1)
atomic	StoreUint32	atomic.StoreUint32(&n.latency, latency)
